,sample,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,temperature,residence_time,pressure,heat_rate,fuel_type,fuel_category,devol_yield
1571,cel_18,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,200,1.0,1.0,1000,Cellulose,Biomass,2.018886356
1572,cel_19,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,200,1.0,1.0,1000,Cellulose,Biomass,2.324709411
1438,htc_9,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,200,0.5,1.0,1000,HTC-MSW,Mix,11.27704968
1439,htc_15,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,200,0.5,1.0,1000,HTC-MSW,Mix,16.38418079
1441,htc_152,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,200,1.0,1.0,1000,HTC-MSW,Mix,2.87856072
1566,htc_152,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,200,1.0,1.0,1000,HTC-MSW,Mix,2.87856072
1612,hc_1,5.2,91.73567443,3.064325572,0.0,39.46536064,5.214475632,54.93683904,0.309855118,0.073469572,0.0,1.585534924,1.044020088,16.166,200,1.0,1.0,1000,Hemicellulose,Biomass,1.415701416
1613,hc_3,5.2,91.73567443,3.064325572,0.0,39.46536064,5.214475632,54.93683904,0.309855118,0.073469572,0.0,1.585534924,1.044020088,16.166,200,1.0,1.0,1000,Hemicellulose,Biomass,1.818794207
1657,lig_2,5.81,57.23263005,35.24991547,1.707454472,58.40088272,4.410370827,35.92947522,0.889846176,0.369425058,0.0,0.906226883,0.461416081,26.10225,200,1.0,1.0,1000,Lignin,Biomass,2.04629319
1658,lig_3,5.81,57.23263005,35.24991547,1.707454472,58.40088272,4.410370827,35.92947522,0.889846176,0.369425058,0.0,0.906226883,0.461416081,26.10225,200,1.0,1.0,1000,Lignin,Biomass,1.983584131
