Unnamed: 0,sample,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,temperature,residence_time,pressure,heat_rate,fuel_type,fuel_category,devol_yield,E_A,A0
1571,cel_18,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,200,1.0,1.0,1000,Cellulose,Biomass,2.018886356,23.092331773926187,674.6068539032022
1572,cel_19,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,200,1.0,1.0,1000,Cellulose,Biomass,2.324709411,23.092331773926187,674.6068539032022
1438,htc_9,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,200,0.5,1.0,1000,HTC-MSW,Mix,11.27704968,4.281764749205312,36.58377665915595
1439,htc_15,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,200,0.5,1.0,1000,HTC-MSW,Mix,16.38418079,4.281764749205312,36.58377665915595
1441,htc_152,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,200,1.0,1.0,1000,HTC-MSW,Mix,2.87856072,4.281764749205312,36.58377665915595
1566,htc_152,7.345,48.24,6.9,37.52,33.085,3.265,16.6,1.877,0.342,0.0,1.2,0.4,13.528,200,1.0,1.0,1000,HTC-MSW,Mix,2.87856072,4.281764749205312,36.58377665915595
1612,hc_1,5.2,91.73567443,3.064325572,0.0,39.46536064,5.214475632,54.93683904,0.309855118,0.073469572,0.0,1.585534924,1.044020088,16.166,200,1.0,1.0,1000,Hemicellulose,Biomass,1.415701416,23.72694755929004,749.3056913708809
1613,hc_3,5.2,91.73567443,3.064325572,0.0,39.46536064,5.214475632,54.93683904,0.309855118,0.073469572,0.0,1.585534924,1.044020088,16.166,200,1.0,1.0,1000,Hemicellulose,Biomass,1.818794207,23.72694755929004,749.3056913708809
1657,lig_2,5.81,57.23263005,35.24991547,1.707454472,58.40088272,4.410370827,35.92947522,0.889846176,0.369425058,0.0,0.906226883,0.461416081,26.10225,200,1.0,1.0,1000,Lignin,Biomass,2.04629319,20.54726899016291,294.4275701516588
1658,lig_3,5.81,57.23263005,35.24991547,1.707454472,58.40088272,4.410370827,35.92947522,0.889846176,0.369425058,0.0,0.906226883,0.461416081,26.10225,200,1.0,1.0,1000,Lignin,Biomass,1.983584131,20.54726899016291,294.4275701516588
1990,TC_1,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,1.0,1.0,1000,Torr-Coal,Coal,2.448685632,21.539286288651482,148.58476997549576
1992,TC_3,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,1.0,1.0,1000,Torr-Coal,Coal,2.857142857,21.539286288651482,148.58476997549576
2001,TC_19,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,10.0,1.0,1000,Torr-Coal,Coal,1.452870305,21.539286288651482,148.58476997549576
2099,TC_148,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,10.0,1.0,1000,Torr-Coal,Coal,1.871739797,21.539286288651482,148.58476997549576
2100,TC_149,5.6,46.19,44.5,3.76,68.67,4.17,15.4,2.21,0.15,0.0,0.7,0.2,26.326859,200,10.0,1.0,1000,Torr-Coal,Coal,1.658163265,21.539286288651482,148.58476997549576
1576,cel_22,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,400,1.0,1.0,1000,Cellulose,Biomass,10.39046989,23.092331773926187,674.6068539032022
1577,cel_23,5.725,87.90049959,6.374500406,0.0,40.30540466,4.517670155,54.86084358,0.269661888,0.046419714,0.0,1.345031574,1.020846535,16.51605,400,1.0,1.0,1000,Cellulose,Biomass,10.83743842,23.092331773926187,674.6068539032022
1835,dgt_1,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,400,1.0,10.0,1000,Digestate,Biomass,26.5385343,12.097036697930562,71.01089208359265
425,digestate_2,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,400,10.0,1.0,1000,Digestate,Biomass,19.47751323,12.097036697930562,71.01089208359265
492,digestate_300,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,400,10.0,1.0,1000,Digestate,Biomass,19.45348081,12.097036697930562,71.01089208359265
494,digestate_302,10.2,50.7,15.4,23.7,37.5,4.8,21.2,2.4,0.2,0.0,1.5,0.4,15.055,400,10.0,1.0,1000,Digestate,Biomass,25.6490135,12.097036697930562,71.01089208359265
